,Movies,Plots
87,Skyfall,"After M's funeral, Moneypenny introduces herself to Bond and tells him she is retiring from fieldwork to become the new secretary."
101,Jumanji: Welcome to the Jungle,"Alex Vreeke received Jumanji in 1996 from his father, who discovered it at the coast in 1969."
101,Jumanji: Welcome to the Jungle,"Twenty-one years later, four students from the same high school are sent to clean the school's basement for using their phone during a quiz."
101,Jumanji: Welcome to the Jungle,"Spencer theorizes that if they lose all three, they will die."
101,Jumanji: Welcome to the Jungle,"Van Pelt's men and Spencer and Fridge's animosity towards each other for the former inadvertently costing the latter his place in their school's football team, the group encounter Alex operating the fifth avatar."
101,Jumanji: Welcome to the Jungle,"While heading for the shrine, the group work together to overcome the problems and get to the shrine."
101,Jumanji: Welcome to the Jungle,Alex is not with the group when they return to the school basement and they find the Vreeke home restored and decorated for a Christmas family gathering.
101,Jumanji: Welcome to the Jungle,"Alex Vreeke received Jumanji in 1996 from his father who discovered it at the coast, but he didn't want to play the game."
101,Jumanji: Welcome to the Jungle,"Twenty-one years later, four students from the same high school are sent to clean the school's basement for using their phones during a quiz."
101,Jumanji: Welcome to the Jungle,"Spencer theorizes that if they lose all three, they will permanently expire."
101,Jumanji: Welcome to the Jungle,"Van Pelt's men, Spencer and Fridge's animosity towards each other for the former inadvertently costing the latter his place in their school's football team, the group encounter Alex operating the fifth avatar, are all dealing with their ""weaknesses""."
101,Jumanji: Welcome to the Jungle,"While heading for the shrine, the group work together to overcome their problems."
101,Jumanji: Welcome to the Jungle,"Alex is not with the group when they return to the school basement, and they find the Vreeke home restored and decorated for a Christmas family gathering."
101,Jumanji: Welcome to the Jungle,"Alex Vreeke received Jumanji in 1996 from his father, who discovered it at the coast, but he didn't care for it."
101,Jumanji: Welcome to the Jungle,"Twenty-one years later, four students from the same high school were sent to clean the school's basement for using their phone during a quiz."
101,Jumanji: Welcome to the Jungle,"Spencer theorizes that if they lose all three, they will be permanently expired."
101,Jumanji: Welcome to the Jungle,"Van Pelt's men, Spencer and Fridge's animosity towards each other for the former inadvertently costing the latter his place in their school's football team, the group encounter Alex operating the fifth avatar, and the group encounter Jefferson ""Seaplane""."
101,Jumanji: Welcome to the Jungle,"While heading for the shrine, the group coordinate to overcome their problems and distract Van Pelt."
101,Jumanji: Welcome to the Jungle,"Alex is not with the group when they return to the school basement, but he is with them when they arrive at the Vreeke home."
101,Jumanji: Welcome to the Jungle,"Alex Vreeke received Jumanji in 1996 from his father, who discovered it at the coast, but he didn't want to play the game."
101,Jumanji: Welcome to the Jungle,"Twenty-one years later, four students from the same high school were sent to clean the school's basement for using their phones during a quiz."
101,Jumanji: Welcome to the Jungle,"Spencer theorizes that if they lose all three, they'll be gone forever."
101,Jumanji: Welcome to the Jungle,"Van Pelt's men, Spencer and Fridge's animosity towards each other for the former inadvertently costing the latter his place in their school's football team, the group encounter Alex operating the fifth avatar, are all dealing with their ""weaknesses"""
101,Jumanji: Welcome to the Jungle,"While heading for the shrine, the group work together to overcome their problems, but Van Pelt tries to stop them."
101,Jumanji: Welcome to the Jungle,"Alex is not with the group when they return to the school basement, but they find the Vreeke home restored and decorated for a Christmas family gathering."
